N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
1,삼성전자,"77,300",600,-0.77%,100,"4,614,642","5,969,783",52.20,"9,915,731",14.98,9.99,
2,SK하이닉스,"128,500","1,000",-0.77%,"5,000","935,483","728,002",49.59,"3,756,649",11.62,9.53,
3,삼성전자우,"72,500",100,-0.14%,100,"596,593","822,887",74.97,"783,046",14.05,N/A,
4,삼성바이오로직스,"850,000","15,000",-1.73%,"2,500","562,402","66,165",10.91,"49,064",137.01,N/A,
5,NAVER,"342,000","6,000",-1.72%,100,"561,048","164,049",55.51,"503,520",3.39,15.22,
6,LG화학,"716,000","39,000",-5.17%,"5,000","505,441","70,592",48.90,"300,426",18.66,2.93,
7,현대차,"209,000","1,000",-0.48%,"5,000","446,567","213,668",28.48,"404,238",10.59,2.04,
8,삼성SDI,"647,000","19,000",-2.85%,"5,000","444,906","68,765",45.18,"232,779",40.58,4.54,
9,카카오,"93,900","2,800",-2.90%,100,"418,706","445,906",29.26,"2,667,188",36.97,2.70,
10,기아,"83,800","1,100",-1.30%,"5,000","339,694","405,363",35.49,"935,265",7.59,5.05,
11,POSCO,"299,000","7,500",-2.45%,"5,000","260,689","87,187",52.75,"308,621",4.48,3.61,
12,KB금융,"62,200",100,-0.16%,"5,000","258,633","415,808",70.76,"1,501,750",5.95,8.53,
13,SK이노베이션,"263,500","3,000",-1.13%,"5,000","243,647","92,466",23.93,"549,946","-7,750.00",-13.58,
14,현대모비스,"255,500",500,+0.20%,"5,000","241,634","94,573",34.33,"188,689",10.29,4.66,
15,LG전자,"146,000",500,+0.34%,"5,000","238,926","163,648",29.22,"2,832,469",21.06,13.23,
16,셀트리온,"171,000","24,000",-12.31%,"1,000","235,890","137,947",20.32,"2,499,311",43.51,16.68,
17,카카오뱅크,"46,300","2,550",-5.22%,"5,000","219,999","475,159",16.10,"3,689,645",149.84,5.08,
18,삼성물산,"115,000","1,500",-1.29%,100,"214,920","186,887",15.40,"203,066",13.08,3.81,
19,신한지주,"39,300",150,-0.38%,"5,000","203,024","516,600",61.21,"1,390,841",5.22,8.20,
20,카카오페이,"143,500","3,500",-2.38%,500,"189,252","131,883",42.79,"288,069",-713.93,-17.97,
21,SK,"244,000","3,000",-1.21%,200,"180,924","74,149",21.73,"89,068",28.51,1.11,
22,크래프톤,"343,500","3,000",-0.87%,100,"168,202","48,967",30.06,"459,834",26.92,61.86,
23,SK바이오사이언스,"200,000","6,000",-2.91%,500,"153,000","76,500",5.48,"621,917",77.01,13.25,
24,LG생활건강,"974,000","1,000",-0.10%,"5,000","152,121","15,618",42.23,"79,185",20.27,17.92,
25,삼성전기,"188,000","5,000",+2.73%,"5,000","140,424","74,694",30.76,"1,446,192",14.45,10.92,
26,하나금융지주,"46,200",700,-1.49%,"5,000","138,712","300,242",68.86,"984,319",4.32,8.96,
